"","domainid","siteid","plotid_parent","tallydate","yearboutbegan","eventid","volumefactor","samplingprotocolversion","lidsazimuth","targettaxapresent","logdistance","logmaxdiameter","minorlogdiameter","logid","loglength","taxonid","scientificname","decayclass","diameterClass","decayClassNum"
"110","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",350,"Y",18.5,38,NA,"06638",13,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"111","D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"Y",65.8,76.5,NA,"06788",6,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"112","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",72.5,48,46,"06718",8.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"113","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",35,27,23,"06778",2.8,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"114","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",230,"Y",10.1,19,NA,"06691",4.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"115","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",20.2,24,NA,"06614",2.2,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"116","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",85.3,42,NA,"06536",4.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"117","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",5.3,10.5,6,"06588",4.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"118","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",34.2,42.3,39.7,"06568",9.8,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"119","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",9.2,37,NA,"06534",3.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"120","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",16,20,NA,"06589",7.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"121","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",6.3,18,16,"06581",2.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"122","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",37.5,28,13.5,"06562",2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"123","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",22.7,26.6,NA,"06664",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"124","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",1.5,7,6,"L01",2.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","5-10cm","3"
"125","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",20.6,27,26.5,"06900",2.2,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"126","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",29.7,80,53,"06721",9.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"127","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",10.6,35.5,34,"06832",9.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"128","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",110,"Y",79.2,167,162,"06689",18.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"129","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",27,23.5,NA,"06555",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"130","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",80.21,57.9,38.4,"06677",9.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"131","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",66.7,41.5,NA,"06549",5.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"132","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",74,59.5,NA,"06548",11.6,"METRO","Metrosideros sp.","3 - Heartwood sound",">=10cm","3"
"133","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",4.3,9.5,NA,"L01",4.3,"CHTR2","Cheirodendron trigynum (Gaudich.) A. Heller","2 - Sound round","5-10cm","2"
"134","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",38.2,36,NA,"06608",2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm","4"
"135","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",8.5,18,NA,"06557",1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"136","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",5.2,14.5,14,"06616",7.3,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"137","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",21.8,23,NA,"06610",1.9,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"138","D20","PUUM","PUUM_006","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",140,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",10.7,24.1,21.9,"06577",3.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"140","D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"Y",78,65,56.5,"06394",10.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"141","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",140,"Y",81.5,77,53,"06541",14.7,"METRO","Metrosideros sp.","3 - Heartwood sound",">=10cm","3"
"142","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",18.5,34,NA,"06544",8.9,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"143","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",10.5,63.1,35,"06734",14.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"144","D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",150,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",220,"Y",2.6,12.5,7,"06612",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"146","D20","PUUM","PUUM_019","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",31.3,30,NA,"06094",3.2,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"147","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",9,40,24,"06576",3.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"148","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",6.5,26.5,NA,"06559",1,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"149","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",20.2,42.5,39.5,"06781",3.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"150","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",12.5,48.5,NA,"06587",11.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"151","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",110,"Y",29.5,29.5,10.5,"06690",1.91,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"152","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",68,40.5,31.5,"06719",2.2,"2PLANT-H","Unknown Hardwood","4 - Rotten throughout",">=10cm","4"
"153","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",5.65,28,21.5,"06728",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"154","D20","PUUM","PUUM_011","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",81,55.5,38,"06575",8.7,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"156","D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",39,32,NA,"06634",1.9,"2PLANT-H","Unknown Hardwood","5 - No structural integrity",">=10cm","5"
"157","D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",80,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",10.5,34,NA,"06552",3.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"159","D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",6,18.5,15.5,"06625",4.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"161","D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",200,"Y",3,53,52,"06526",27,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"162","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",43.8,35,NA,"06521",5.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"163","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",8.1,25.2,16.5,"06736",1.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"164","D20","PUUM","PUUM_002","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",170,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",100,"Y",1.5,38,26,"06618",5.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"166","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",13.4,17,15.5,"06797",4.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"167","D20","PUUM","PUUM_003","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",NA,"NEON.DOC.001711vF",230,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",28.6,47,NA,"06630",12.96,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"169","D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",70,"Y",27.5,27.5,NA,"06828",1.3,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"170","D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",0.6,11.5,NA,"06597",14.5,"ACKO","Acacia koa A. Gray","2 - Sound round",">=10cm","2"
"171","D20","PUUM","PUUM_011","2020-07-30T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",70,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",270,"Y",58.4,49.6,33.2,"06669",10.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"173","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",33.5,30,NA,"06537",2.6,"CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","NA",">=10cm","NA"
"174","D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",310,"Y",72.4,78.5,37.5,"06780",8.7,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"175","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",12,15.5,NA,"06503",3.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"176","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",10.4,20,NA,"06799",1.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"177","D20","PUUM","PUUM_018","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",18.4,39.5,NA,"06662",6,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"178","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",150,"Y",1,20.5,NA,"06648",2.3,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"179","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",15,38.5,33.5,"06725",2.9,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"180","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",6.4,57,NA,"06831",8.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"181","D20","PUUM","PUUM_008","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",190,"Y",44.3,38,30,"06635",4.6,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"182","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",340,"Y",1.8,12,NA,"06714",1.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"183","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",29.3,40.5,NA,"06731",17.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"184","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",12.8,17,NA,"06504",3.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"185","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",6.9,60.5,47.5,"06726",3.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"186","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",110,"Y",62.8,81,76,"06739",2.87,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"187","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",56,43.5,43,"06784",11.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"188","D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"Y",31.5,25,24.5,"06623",2.3,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"189","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",15,27,16.5,"06789",4.8,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"190","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",130,"Y",21.8,30.5,29,"06653",2.6,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"191","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",28,46.5,NA,"06550",14.8,"METRO","Metrosideros sp.","3 - Heartwood sound",">=10cm","3"
"192","D20","PUUM","PUUM_005","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",230,"Y",15.9,29.5,27.5,"06783",1.1,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"193","D20","PUUM","PUUM_015","2020-08-03T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",170,"Y",48.9,58,NA,"06620",14.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"194","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",61.6,45,NA,"06720",16.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"195","D20","PUUM","PUUM_004","2020-08-11T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",340,"Y",27.6,28.5,NA,"06709",2.6,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"196","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",9.6,17,17,"06594",4.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"197","D20","PUUM","PUUM_013","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",5,"NEON.DOC.001711vF",350,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",8.9,20.5,19,"06564",12,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"199","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",6,21.5,NA,"06729",1.2,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"200","D20","PUUM","PUUM_017","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",330,"Y",49.6,54,49,"06722",15.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"201","D20","PUUM","PUUM_009","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",160,"Y",83,50,42,"06631",10.4,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"202","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",5.7,34.3,NA,"06737",4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"203","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",2.5,17,15,"06570",1.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"204","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",24,36,NA,"06779",3.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"205","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",17,56.5,47.5,"06553",9.2,"METRO","Metrosideros sp.","2 - Sound round",">=10cm","2"
"206","D20","PUUM","PUUM_014","2020-07-28T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",30,"Y",33.6,42.5,23,"06637",2.15,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"207","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",140,"Y",33.2,37,32,"06543",3.6,"METRO","Metrosideros sp.","3 - Heartwood sound",">=10cm","3"
"208","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",20,"Y",1.5,9.5,NA,"06570",1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","5-10cm","3"
"209","D20","PUUM","PUUM_006","2020-07-27T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",260,"Y",68,55.5,40.5,"06560",5,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"210","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",6.5,16.4,NA,"06727",4.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"211","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",40,"Y",3.95,36.5,NA,"06585",4.4,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"212","D20","PUUM","PUUM_016","2020-08-12T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",200,"Y",11.5,18.5,NA,"06525",2.2,"CIBOT","Cibotium sp.","NA",">=10cm","NA"
"213","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",90,"Y",56,42.8,30.5,"06573",6.5,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"214","D20","PUUM","PUUM_002","2020-07-23T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",50,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",250,"Y",2.1,7,NA,"L01",1.1,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound","5-10cm","3"
"216","D20","PUUM","PUUM_020","2020-07-20T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",210,"Y",59.6,42,38.8,"06569",6.4,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"217","D20","PUUM","PUUM_001","2020-07-22T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",280,"Y",29.7,35,26,"06629",5.4,"MEPO5","Metrosideros polymorpha Gaudich.","3 - Heartwood sound",">=10cm","3"
"218","D20","PUUM","PUUM_010","2020-07-29T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",15.6,33,32.5,"06723",6.9,"2PLANT-H","Unknown Hardwood","3 - Heartwood sound",">=10cm","3"
"219","D20","PUUM","PUUM_007","2020-08-05T00:00:00.000Z",2020,"CDW.2020.PUUM",8,"NEON.DOC.001711vF",10,"Y",5.8,12,NA,"06538",1.1,"2PLANT-H","Unknown plant","3 - Heartwood sound",">=10cm","3"
